date,item_id,daily_consumption_units,recorded_stock_on_hand_units,stock_on_order_units,order_placed_today,stockout_today_units,expiry_today_units
2025-01-01,A01,34,1332.4,1671.0,True,0,0
2025-01-01,A02,151,2249.0,4399.0,True,0,0
2025-01-01,A03,6,314.0,1012.0,True,0,0
2025-01-01,A04,0,100.0,549.0,True,0,0
2025-01-01,A05,49,2351.0,6211.0,True,0,0
2025-01-01,A06,16,5629.1,11103.0,True,0,1
2025-01-01,A07,1,449.0,1267.0,True,0,0
2025-01-01,A08,2,198.0,0.0,False,0,0
2025-01-01,A09,1,185.9,909.0,True,0,0
2025-01-01,A10,112,3887.0,12062.0,True,0,1
2025-01-01,B01,0,80.0,428.0,True,0,0
2025-01-01,B02,1,283.5,2133.0,True,0,0
2025-01-01,B03,18,102.0,1007.0,True,0,0
2025-01-01,B04,0,90.0,988.0,True,0,0
2025-01-01,B05,0,40.0,0.0,False,0,0
2025-01-01,B06,0,260.0,1200.0,True,0,0
2025-01-01,B07,48,1452.0,8915.0,True,0,0
2025-01-01,B08,6,494.0,2922.0,True,0,0
2025-01-01,B09,8,132.0,1031.0,True,0,0
2025-01-01,B10,1,59.0,227.0,True,0,0
2025-01-01,B11,2,178.0,1031.0,True,0,0
2025-01-01,B12,27,273.0,1802.0,True,0,0
2025-01-01,C01,1,11.0,68.0,True,0,0
2025-01-01,C02,1,99.0,0.0,False,0,0
2025-01-01,C03,0,16.5,132.0,True,0,0
2025-01-01,C04,1,79.0,568.0,True,0,0
2025-01-01,C05,0,40.0,0.0,False,0,0
2025-01-01,C06,1,59.0,0.0,False,0,0
2025-01-01,C07,0,71.4,0.0,False,0,0
2025-01-01,C08,0,15.0,106.0,True,0,0
2025-01-02,A01,11,1155.0,1671.0,False,0,0
2025-01-02,A02,159,2090.0,4399.0,False,0,0
2025-01-02,A03,6,308.0,1012.0,False,0,0
2025-01-02,A04,0,100.0,549.0,False,0,0
2025-01-02,A05,205,1837.7,6211.0,False,0,0
2025-01-02,A06,120,5062.0,11103.0,False,0,1
2025-01-02,A07,18,431.0,1267.0,False,0,0
2025-01-02,A08,1,197.0,0.0,False,0,0
2025-01-02,A09,3,196.0,909.0,False,0,0
2025-01-02,A10,354,3532.0,12062.0,False,0,1
2025-01-02,B01,6,74.0,428.0,False,0,0
2025-01-02,B02,6,243.0,2133.0,False,0,0
2025-01-02,B03,14,88.0,1007.0,False,0,0
2025-01-02,B04,4,86.0,988.0,False,0,0
2025-01-02,B05,1,39.0,0.0,False,0,0
2025-01-02,B06,2,258.0,1200.0,False,0,0
2025-01-02,B07,310,1142.0,8915.0,False,0,0
2025-01-02,B08,3,491.0,2922.0,False,0,0
2025-01-02,B09,2,136.2,1031.0,False,0,0
2025-01-02,B10,1,58.0,227.0,False,0,0
2025-01-02,B11,13,165.0,1031.0,False,0,0
2025-01-02,B12,1,272.0,1802.0,False,0,0
2025-01-02,C01,1,10.0,68.0,False,0,0
2025-01-02,C02,6,93.0,920.0,True,0,0
2025-01-02,C03,0,18.0,132.0,False,0,0
2025-01-02,C04,9,70.0,568.0,False,0,0
2025-01-02,C05,0,40.0,0.0,False,0,0
2025-01-02,C06,0,50.2,0.0,False,0,0
2025-01-02,C07,0,80.0,0.0,False,0,0
2025-01-02,C08,5,10.0,106.0,False,0,0
2025-01-03,A01,3,1152.0,1671.0,False,0,0
2025-01-03,A02,9,2081.0,4399.0,False,0,0
2025-01-03,A03,59,249.0,1012.0,False,0,0
2025-01-03,A04,0,100.0,549.0,False,0,0
2025-01-03,A05,100,2046.0,6211.0,False,0,0
2025-01-03,A06,53,5008.0,11103.0,False,0,1
2025-01-03,A07,4,427.0,1267.0,False,0,0
2025-01-03,A08,2,195.0,0.0,False,0,0
2025-01-03,A09,8,188.0,909.0,False,0,0
2025-01-03,A10,79,3452.0,12062.0,False,0,1
2025-01-03,B01,0,74.0,428.0,False,0,0
2025-01-03,B02,0,243.0,2133.0,False,0,0
2025-01-03,B03,0,88.0,1007.0,False,0,0
2025-01-03,B04,12,74.0,988.0,False,0,0
2025-01-03,B05,0,39.0,0.0,False,0,0
2025-01-03,B06,71,187.0,1200.0,False,0,0
2025-01-03,B07,2,1140.0,8915.0,False,0,0
2025-01-03,B08,3,488.0,2922.0,False,0,0
2025-01-03,B09,16,114.0,1031.0,False,0,0
2025-01-03,B10,0,58.0,227.0,False,0,0
2025-01-03,B11,22,143.0,1031.0,False,0,0
2025-01-03,B12,37,227.8,1802.0,False,0,0
2025-01-03,C01,0,11.3,68.0,False,0,0
2025-01-03,C02,1,92.0,920.0,False,0,0
2025-01-03,C03,1,17.0,132.0,False,0,0
2025-01-03,C04,7,63.0,568.0,False,0,0
2025-01-03,C05,5,35.0,404.0,True,0,0
2025-01-03,C06,17,42.0,0.0,False,0,0
2025-01-03,C07,3,81.0,0.0,False,0,0
2025-01-03,C08,3,7.0,106.0,False,0,0
2025-01-04,A01,23,1129.0,1671.0,False,0,0
2025-01-04,A02,139,1942.0,4399.0,False,0,0
2025-01-04,A03,16,233.0,1012.0,False,0,0
2025-01-04,A04,1,99.0,549.0,False,0,0
2025-01-04,A05,82,1964.0,6211.0,False,0,0
2025-01-04,A06,141,4866.0,11103.0,False,0,1
2025-01-04,A07,0,427.0,1267.0,False,0,0
2025-01-04,A08,0,195.0,0.0,False,0,0
2025-01-04,A09,2,186.0,909.0,False,0,0
2025-01-04,A10,23,3428.0,12062.0,False,0,1
2025-01-04,B01,1,73.0,428.0,False,0,0
2025-01-04,B02,0,243.0,2133.0,False,0,0
2025-01-04,B03,9,79.0,1007.0,False,0,0
2025-01-04,B04,12,62.0,988.0,False,0,0
2025-01-04,B05,0,38.5,0.0,False,0,0
2025-01-04,B06,2,196.0,1200.0,False,0,0
2025-01-04,B07,30,1110.0,8915.0,False,0,0
2025-01-04,B08,9,479.0,2922.0,False,0,0
2025-01-04,B09,0,114.0,1031.0,False,0,0
2025-01-04,B10,0,52.6,227.0,False,0,0
2025-01-04,B11,0,143.0,1031.0,False,0,0
2025-01-04,B12,7,228.0,1802.0,False,0,0
2025-01-04,C01,1,9.0,68.0,False,0,0
2025-01-04,C02,1,91.0,920.0,False,0,0
2025-01-04,C03,0,17.0,132.0,False,0,0
2025-01-04,C04,0,63.0,568.0,False,0,0
2025-01-04,C05,2,33.0,404.0,False,0,0
2025-01-04,C06,2,45.9,0.0,False,0,0
2025-01-04,C07,4,75.1,0.0,False,0,0
2025-01-04,C08,0,7.2,106.0,False,0,0
2025-01-05,A01,9,1120.0,1671.0,False,0,0
2025-01-05,A02,0,1942.0,4399.0,False,0,0
2025-01-05,A03,0,233.0,1012.0,False,0,0
2025-01-05,A04,0,99.0,549.0,False,0,0
2025-01-05,A05,149,1815.0,6211.0,False,0,0
2025-01-05,A06,107,4758.0,11103.0,False,0,1
2025-01-05,A07,2,425.0,1267.0,False,0,0
2025-01-05,A08,12,183.0,0.0,False,0,0
2025-01-05,A09,1,185.0,909.0,False,0,0
2025-01-05,A10,493,2934.0,12062.0,False,0,1
2025-01-05,B01,0,73.0,428.0,False,0,0
2025-01-05,B02,1,242.0,2133.0,False,0,0
2025-01-05,B03,0,79.0,1007.0,False,0,0
2025-01-05,B04,18,44.0,988.0,False,0,0
2025-01-05,B05,0,39.0,0.0,False,0,0
2025-01-05,B06,7,178.0,1200.0,False,0,0
2025-01-05,B07,192,918.0,8915.0,False,0,0
2025-01-05,B08,8,471.0,2922.0,False,0,0
2025-01-05,B09,5,109.0,1031.0,False,0,0
2025-01-05,B10,1,57.0,227.0,False,0,0
2025-01-05,B11,5,138.0,1031.0,False,0,0
2025-01-05,B12,1,201.1,1802.0,False,0,0
2025-01-05,C01,2,7.0,68.0,False,0,0
2025-01-05,C02,0,91.0,920.0,False,0,0
2025-01-05,C03,0,17.0,132.0,False,0,0
2025-01-05,C04,6,57.0,568.0,False,0,0
2025-01-05,C05,0,33.0,404.0,False,0,0
2025-01-05,C06,0,40.0,516.0,True,0,0
2025-01-05,C07,3,70.0,0.0,False,0,0
2025-01-05,C08,2,5.0,106.0,False,0,0
2025-01-06,A01,18,1102.0,1671.0,False,0,0
2025-01-06,A02,51,1891.0,4399.0,False,0,0
2025-01-06,A03,7,226.0,1012.0,False,0,0
2025-01-06,A04,1,98.0,549.0,False,0,0
2025-01-06,A05,5,1810.0,6211.0,False,0,0
2025-01-06,A06,654,4103.0,11103.0,False,0,1
2025-01-06,A07,80,345.0,1267.0,False,0,0
2025-01-06,A08,12,171.0,0.0,False,0,0
2025-01-06,A09,2,183.0,909.0,False,0,0
2025-01-06,A10,389,2544.0,12062.0,False,0,1
2025-01-06,B01,0,73.0,428.0,False,0,0
2025-01-06,B02,2,240.0,2133.0,False,0,0
2025-01-06,B03,8,68.7,1007.0,False,0,0
2025-01-06,B04,0,44.0,988.0,False,0,0
2025-01-06,B05,0,39.0,0.0,False,0,0
2025-01-06,B06,16,162.0,1200.0,False,0,0
2025-01-06,B07,61,857.0,8915.0,False,0,0
2025-01-06,B08,1,494.3,2922.0,False,0,0
2025-01-06,B09,3,106.0,1031.0,False,0,0
2025-01-06,B10,3,54.0,227.0,False,0,0
2025-01-06,B11,1,137.0,1031.0,False,0,0
2025-01-06,B12,29,198.0,1802.0,False,0,0
